ID,Name,Place,Type,Price,ReviewsCount,Rating,City,State
150,Monumentaal vintage appartement,Groningen,Three-Bedroom Apartment,123.94,80,8.5,Groningen,
151,Hotel Corps de Garde,Groningen,Comfort Room,138.3,717,8.9,Groningen,
152,Bed & Breakfast De Barrels,Groningen,Deluxe Apartment,171.75,181,8.7,Groningen,
153,Best Western Apartments Groningen Centre,Groningen,Apartment (6 Adults),184.11,500,8.6,Groningen,
154,"Eco-Camping De Helleborus, Yurt, Bell & Safari tent, Pipo, Caravans, Dorms and Units",Groningen,Tent (2 Adults) Tiny T. ,48.28,111,8.2,Groningen,
155,The Student Hotel Groningen,Groningen,Standard Queen Room,71.04,500,8.4,Groningen,
156,Best Western Hotel Groningen Centre,Groningen,Standard Twin Room,83.2,500,8.2,Groningen,
157,Best Western Plus Hotel Groningen Plaza,Groningen,Twin Room,84.87,2590,8,Groningen,
158,City Hotel Groningen,Groningen,City Double or Twin Room,89.72,500,8.2,Groningen,
159,The Jungle - duo studio with kingsize terrace,Groningen,One-Bedroom Apartment,112.26,2,8,Groningen,
160,Neon Nights Studio,Groningen,One-Bedroom Apartment,112.26,4,8.3,Groningen,
161,Boutique Hotel De Doelen,Groningen,Standard Double or Twin Room,115.31,1859,8.2,Groningen,
162,Cessinas,Groningen,Double Room with Private Bathroom,59,110,8,Groningen,
163,MAF Haarlem Boutique Hotel,Haarlem,Queen Room,128.46,144,9,Haarlem,
164,B&B Het Hart van Haarlem,Haarlem,Deluxe Studio with Kitchen,148.18,606,9.2,Haarlem,
165,Cavallaro Hotel,Haarlem,Deluxe Room,183.44,31,9.1,Haarlem,
166,Haarlem zuid,Haarlem,One-Bedroom Apartment,191.96,6,9.2,Haarlem,
167,Boutique Hotel 't Vosje,Haarlem,Superior Suite,207.46,431,9,Haarlem,
168,the niu Dairy,Haarlem,Standard Double or Twin Room,92.99,500,8.5,Haarlem,
169,Van der Valk Hotel Haarlem,Haarlem,Comfort Double Room,100.63,500,8.6,Haarlem,
170,Hotel ML,Haarlem,Comfort Room,116.75,883,8.6,Haarlem,
171,Haarlem 49,Haarlem,Twin Room with Private Bathroom,118.59,144,8.6,Haarlem,
172,Hotel Lion D'Or,Haarlem,Classic Double or Twin Room,118.59,2352,8.6,Haarlem,
173,Hôtel Frenchie,Haarlem,Deluxe Room,145.04,172,8.9,Haarlem,
174,Boutiquehotel Staats,Haarlem,Deluxe Room,151.78,713,8.9,Haarlem,
175,Brasss Hotel Suites,Haarlem,Junior Suite Amazon,169.39,922,8.9,Haarlem,
176,Haarlem Hotel Suites,Haarlem,Suite Kleine Hout 4,174.26,522,8.8,Haarlem,
177,Hotel De Zoete Inval Haarlemmerliede,Haarlem,Comfort Twin Room,87.45,500,8.4,Haarlem,
178,Anegang Boutique Hotel,Haarlem,Economy Twin Room,96.99,229,8.3,Haarlem,
179,Carlton Square Hotel,Haarlem,Standard Double or Twin Room,113.16,1052,8.3,Haarlem,
180,The Guestroom - B&B,Haarlem,Queen Studio,119.45,267,8.4,Haarlem,
181,Amrâth Grand Hotel Frans Hals,Haarlem,Deluxe Twin Room,130.7,1730,8,Haarlem,
182,Haarlem Apart Hotel,Haarlem,Quadruple Room with Private Bathroom,226.09,154,8.3,Haarlem,
183,Stayokay Hostel Haarlem,Haarlem,Bed in 6-Bed Mixed Dorm with Shower,59.49,500,7.7,Haarlem,
184,Amadeus Hotel,Haarlem,Budget Double Room,71.67,1281,7.7,Haarlem,
185,Ambassador City Centre Hotel,Haarlem,Comfort Room,99.06,807,7.7,Haarlem,
186,Bed and Breakfast Haarlem 1001 Nacht,Haarlem,Luxury Quadruple Room,137.36,748,7.8,Haarlem,
187,Hotel Carillon,Haarlem,Double Room with Shower,81.05,542,5.5,Haarlem,
188,Hotel Bries Den Haag - Scheveningen,The Hague,Standard Suite,116.25,303,9,The Hague,
189,COVE Centrum,"The Hague City Centre, The Hague",Studio Apartments,114.99,451,9,The Hague City Centre, The Hague
190,La Paulowna Boutique Hotel,"The Hague City Centre, The Hague",Standard King Room,128.06,500,9.3,The Hague City Centre, The Hague
191,Hotel Pistache Den Haag,"The Hague City Centre, The Hague",Standard Suite,133.02,365,9.1,The Hague City Centre, The Hague
192,Boutique Hotel Havenkantoor,"Laak, The Hague",One-Bedroom Apartment,145,7,9.1,Laak, The Hague
193,The Collector Hotel,"The Hague City Centre, The Hague",The Cabinet <double standard>,151.2,3136,9.2,The Hague City Centre, The Hague
194,'t Goude Hooft,"The Hague City Centre, The Hague",Deluxe Suite,214.9,375,9,The Hague City Centre, The Hague
195,Stadsvilla Hotel Mozaic Den Haag,"The Hague City Centre, The Hague",Deluxe Double Room,120.88,1299,8.9,The Hague City Centre, The Hague
196,Boutique Hotel First City,"The Hague City Centre, The Hague",Deluxe Double Room,124.83,887,8.8,The Hague City Centre, The Hague
197,"voco The Hague, an IHG Hotel","The Hague City Centre, The Hague",Queen Room with Atrium View,129.01,500,8.7,The Hague City Centre, The Hague
198,Boutique Hotel De Salon,"The Hague City Centre, The Hague",Superior King Room,131.37,1018,8.8,The Hague City Centre, The Hague
199,Carlton Ambassador,"The Hague City Centre, The Hague",Standard Double Room,135.65,500,8.5,The Hague City Centre, The Hague
200,Babylon Hotel Den Haag,"Haagse Hout, The Hague",Standard Twin Room,137.08,500,8.5,Haagse Hout, The Hague
201,The Sunny Suite - R.Q.C.,"The Hague City Centre, The Hague",One-Bedroom Apartment,142.79,46,8.8,The Hague City Centre, The Hague
202,Boutique Hotel Corona,"The Hague City Centre, The Hague",Comfort Room City View,152.44,3337,8.5,The Hague City Centre, The Hague
203,"Hotel Indigo The Hague - Palace Noordeinde, an IHG Hotel","The Hague City Centre, The Hague",Standard Room,153.57,500,8.8,The Hague City Centre, The Hague
204,Hotel Excelsior,The Hague,Standard Triple Room,157.17,293,8.9,The Hague,
205,"Staybridge Suites The Hague - Parliament, an IHG Hotel","The Hague City Centre, The Hague",Studio Suite Queen Bed,174.23,500,8.7,The Hague City Centre, The Hague
206,Mövenpick Hotel The Hague,"The Hague City Centre, The Hague",Classic King Room,185.1,1000,8.9,The Hague City Centre, The Hague
207,Hotel Broer & Zus,"The Hague City Centre, The Hague",Two-Bedroom Suite,206.92,16,8.5,The Hague City Centre, The Hague
208,The Student Hotel The Hague,"The Hague City Centre, The Hague",Executive Queen Room,62.74,500,8.3,The Hague City Centre, The Hague
209,En Suite,"Segbroek, The Hague",Double Room,70.64,455,8,Segbroek, The Hague
210,Staten Hotel,The Hague,Double or Twin Room,85.32,484,8.2,The Hague,
211,Riva hotel Den Haag - Delft,The Hague,Standard Double Room,89.23,2125,8.4,The Hague,
212,Park Centraal Den Haag,"The Hague City Centre, The Hague",Comfort Double,97.22,500,8.3,The Hague City Centre, The Hague
213,NinetyNine Amsterdam Airport,Hoofddorp,Double Room,92.15,751,8.5,Hoofddorp,
214,Executive Residency by Best Western Amsterdam Airport,Hoofddorp,Comfort Double Room with Kitchenette,100.13,994,8.5,Hoofddorp,
215,Novotel Amsterdam Schiphol Airport,Hoofddorp,Standard Room with Double Bed and One Sofa Bed,121.24,500,8.5,Hoofddorp,
216,Hyatt Place Amsterdam Airport,Hoofddorp,King Room,122.9,500,8.5,Hoofddorp,
217,Maxhotel Amsterdam Airport Schiphol,Hoofddorp,Small Double Room,74.54,500,8,Hoofddorp,
218,IntercityHotel Amsterdam Airport,Hoofddorp,Double Room,90.67,40,8.4,Hoofddorp,
219,Moxy Amsterdam Schiphol Airport,Hoofddorp,MOXY Sleeper Queen,96.1,349,8.3,Hoofddorp,
