ID,Name,Type,Price,ReviewsCount,Rating,City,State
217,Maxhotel Amsterdam Airport Schiphol,Small Double Room,74.54,500,8.0,Hoofddorp,North Holland
218,IntercityHotel Amsterdam Airport,Double Room,90.67,40,8.4,Hoofddorp,North Holland
219,Moxy Amsterdam Schiphol Airport,MOXY Sleeper Queen,96.10,349,8.3,Hoofddorp,North Holland
220,The Florian Amsterdam Airport,Double Room,96.18,500,8.4,Hoofddorp,North Holland
221,NH Amsterdam Schiphol Airport,Standard Double or Twin Room,99.68,500,8.4,Hoofddorp,North Holland
222,Hampton by Hilton Amsterdam Airport Schiphol,Double Room,103.82,2683,8.0,Hoofddorp,North Holland
223,Courtyard by Marriott Amsterdam Airport,Standard Queen Room with Two Queen Beds,116.39,754,8.1,Hoofddorp,North Holland
224,Van der Valk Hotel A4 Schiphol,Superior Twin Room,119.56,3753,8.3,Hoofddorp,North Holland
225,Wim's Place Amsterdam Airport / Hoofddorp,Deluxe Double Room (2 Adults + 1 Child),426.58,500,8.2,Hoofddorp,North Holland
226,Floriande Bed & Breakfast,Deluxe Room,67.35,138,7.6,Hoofddorp,North Holland
227,Bastion Hotel Amsterdam Airport,Deluxe Twin Room,88.91,500,7.6,Hoofddorp,North Holland
228,"Holiday Inn Express Amsterdam - Schiphol, an IHG Hotel",Standard Double or Twin,112.35,1842,7.8,Hoofddorp,North Holland
229,Hotel De Beurs,Business Double Room,125.73,557,7.7,Hoofddorp,North Holland
230,Best Western Plus Amsterdam Airport Hotel,Deluxe Twin Room,84.41,500,7.1,Hoofddorp,North Holland
231,Bastion Hotel Schiphol Hoofddorp,Comfort Twin Room,75.44,500,6.9,Hoofddorp,North Holland
232,Cosy Cityhouse Leeuwarden,One-Bedroom House,112.08,142,9.1,Leeuwarden,Friesland
233,B&B De Olde Signorie,Triple Room,148.48,500,9.4,Leeuwarden,Friesland
234,Post-Plaza Hotel & Grand Café,Comfort Twin Room,93.12,2474,8.8,Leeuwarden,Friesland
235,Van der Valk Hotel Leeuwarden,Deluxe Twin Room,100.63,1039,8.9,Leeuwarden,Friesland
236,Stadslogies in Leeuwarden,Deluxe Double Studio,103.28,375,8.7,Leeuwarden,Friesland
237,B&B De Dream,Deluxe Single Room,131.04,500,8.9,Leeuwarden,Friesland
238,Guesthouse De Kleyne Sint Jacob,Double Room with Terrace,73.28,40,8.3,Leeuwarden,Friesland
239,WestCord WTC Hotel Leeuwarden,Comfort Room,89.58,500,8.3,Leeuwarden,Friesland
240,Oranje Hotel Leeuwarden,Standard Room,91.71,1725,8.4,Leeuwarden,Friesland
241,Hotel & Restaurant Weidumerhout,Superior Double Room with Shower / Bath,107.77,500,8.3,Leeuwarden,Friesland
242,Boutique hotel WKNDS,Deluxe Twin Room,109.07,482,8.1,Leeuwarden,Friesland
243,In de Brouwerij,Superior Double Room,116.71,264,8.4,Leeuwarden,Friesland
244,City Penthouse Mademoiselle Anna Louise,Penthouse Apartment,128.03,500,8.4,Leeuwarden,Friesland
245,City House Grande Madame Agaath,Deluxe Two-Bedroom Apartment,146.65,500,8.0,Leeuwarden,Friesland
246,Bastion Hotel Leeuwarden,Comfort Twin Room,79.93,500,7.6,Leeuwarden,Friesland
247,City Boutique Ster Logies Leeuwarden De Roos,Small Comfort Twin Room,85.35,500,7.6,Leeuwarden,Friesland
248,Eurohotel,Standard Double Room,92.69,2662,7.5,Leeuwarden,Friesland
249,Fletcher Hotel Paleis Stadhouderlijk Hof,Comfort Double Room with Shower,115.85,2394,7.4,Leeuwarden,Friesland
250,Studio in the city center of Leeuwarden,One-Bedroom Apartment,47.33,71,6.7,Leeuwarden,Friesland
251,Op de woonboot in Leeuwarden!,Two-Bedroom House,79.37,824,8.3,Leeuwarden,Friesland
252,Dormio Resort Maastricht Castellum Apartments,One-Bedroom Apartment,203.86,3,9.7,Maastricht,Maastricht
253,BEAUMONT Maastricht,New Deluxe Room,348.45,948,8.5,Wijck, Maastricht
254,Bourgogne Suite Maastricht,Deluxe Double Room superior,378.71,500,8.9,Wijck, Maastricht
255,The Green Elephant Hostel & Spa,Private Pod in Mixed Dormitory Room,129.87,1864,8.4,Wijck, Maastricht
256,Stayokay Hostel Maastricht,6 Person Room with Private Bathroom and Shower,161.66,500,8.3,Jekerkwartier, Maastricht
257,Dormio Resort Maastricht Apartments,Comfort One-Bedroom Apartment,169.87,967,8.4,Maastricht,Maastricht
258,Dormio Hotel De Prins van Oranje,Deluxe Twin Room,203.05,1149,8.3,Maastricht,Maastricht
259,Dormio Resort Maastricht,Comfort Two-Bedroom House,226.26,715,8.2,Maastricht,Maastricht
260,Townhouse Apartments,Large Studio Apartment,242.53,500,8.1,Wijck, Maastricht
261,Kaboom Hotel Maastricht,Comfort Quadruple Room,249.98,3193,8.1,Wijck, Maastricht
262,easyHotel Maastricht City Centre,Triple Room,273.01,3576,8.0,Maastricht City Centre, Maastricht
263,"city Apartment ""Op de Thermen""",Two-Bedroom Apartment,336.78,98,8.2,Maastricht City Centre, Maastricht
264,Hotel Monastère Maastricht,Twin Room,356.87,3772,8.0,Boschstraatkwartier, Maastricht
265,Townhouse Design Hotel & Spa,Large Double Room,257.84,2655,7.9,Wijck, Maastricht
266,Bastion Hotel Maastricht Centrum,Deluxe King Room,277.51,500,7.5,Boschstraatkwartier, Maastricht
267,Derlon Hotel Maastricht,Deluxe Twin or Double Room,373.67,1223,7.9,Maastricht City Centre, Maastricht
268,NH Maastricht,Standard Double or Twin Room,574.77,500,7.9,Randwijck, Maastricht
269,"Crowne Plaza Maastricht, an IHG Hotel",Executive King Room,587.83,2510,7.6,Wijck, Maastricht
270,Botel Maastricht,Family Room (6 Adults) with Shared Shower and Toilet,335.87,1342,6.7,Jekerkwartier, Maastricht
271,Bed & Breakfast Adrichem en Scherpenseel,Forsyth,114.24,232,9.2,Middelburg,Zeeland
272,B&B Montancourt-Middelburg,Twin Room,116.75,372,9.0,Middelburg,Zeeland
273,Logement 't Oude Bierhuys,Double Room,121.24,817,9.1,Middelburg,Zeeland
274,Logies aan de Dam,Deluxe Room,125.73,3,9.3,Middelburg,Zeeland
275,B&B 't Poorthuys,Junior Suite,126.63,651,9.4,Middelburg,Zeeland
